Rank,Rank Number,Grade,Uploads,Subscribers,Year of Creation,Years active,Category,Country,Gender,Views,Name of the Channel
81st,81,50,217,17374624,2005,13,CMusic,US,Female,763039860,Beyoncé 
82nd,82,80,5480,17369304,2011,7,People,US,Group of People,13977439476,BuzzFeedVideo 
83rd,83,50,1543,17333100,2006,12,CMusic,US,Group of People,535960688,Vevo 
84th,84,60,192,17281571,2011,7,Shows,BR,Group of People,1180170950,CanalCanalha 
85th,85,80,141,17266335,2012,6,CMusic,NO,Male ,4675744198,Alan Walker 
86th,86,100,30263,17214403,2006,12,Film,US,Group of People,16663231175,Movieclips 
87th,87,80,1724,16990044,2005,13,Entretainment,US,Male ,4246300432,shane 
88th,88,80,277,16967826,2008,10,CMusic,KR,Group of People,3450811553,ibighit 
89th,89,80,694,16924184,2013,5,People,US,Male ,4945009587,Jake Paul 
90th,90,90,2519,16852687,2014,4,Music,BR,Group of People,7628047867,GR6 EXPLODE 
91st,91,80,569,16664493,2011,7,Film,RU,Group of People,16533344582,Маша и Медведь 
92nd,92,80,1557,16685757,2017,1,Shows,US,Group of People,3143775416,BRIGHT SIDE 
93rd,93,50,16,16596587,2013,5,CMusic,US,Female,76598813,Nicki Minaj 
94th,94,80,319,16507859,2011,7,CMusic,PR,Male ,5777107070,Daddy Yankee 
95th,95,80,681,16365420,2011,7,Education,GB,Group of People,17478640234,Little Baby Bum - Nursery Rhymes &… 
96th,96,80,31,16270131,2009,9,CMusic,GB,Female,7417624230,AdeleVEVO 
97th,97,80,223,16318426,2013,5,MusicCMusic,MX,Group of People,5199670980,BillionSurpriseToys - Nursery… 
98th,98,80,215,16131590,2012,6,CMusic,PR,Male ,10329720858,NickyJamTV 
99th,99,70,1035,16081106,2007,11,Shows,MX,Male ,2513569335,Werevertumorro 
100th,100,80,441,16094796,2008,10,CMusic,US,Male ,7983292567,Wiz Khalifa 
